tax_num,avg_tax_incm,fine_code,fine_name,broad_code,broad_name
569,48641.6203866432,01110, Nursery Production (Under Cover),A,"Agriculture, Forestry and Fishing"
640,52478.578125,01120, Nursery Production (Outdoors),A,"Agriculture, Forestry and Fishing"
166,50447.7530120482,01130, Turf Growing,A,"Agriculture, Forestry and Fishing"
65,41558.1076923077,01140, Floriculture Production (Under Cover),A,"Agriculture, Forestry and Fishing"
187,55315.9251336898,01150, Floriculture Production (Outdoors),A,"Agriculture, Forestry and Fishing"
59,42842.3898305085,01210, Mushroom Growing,A,"Agriculture, Forestry and Fishing"
471,31621.9341825902,01220, Vegetable Growing (Under Cover),A,"Agriculture, Forestry and Fishing"
1217,43312.3040262942,01230, Vegetable Growing (Outdoors),A,"Agriculture, Forestry and Fishing"
1480,107165.742567568,01310, Grape Growing,A,"Agriculture, Forestry and Fishing"
5,53656.6,01320, Kiwifruit Growing,A,"Agriculture, Forestry and Fishing"
108,45841.4444444445,01330, Berry Fruit Growing,A,"Agriculture, Forestry and Fishing"
70,27993.1714285714,01340, Apple and Pear Growing,A,"Agriculture, Forestry and Fishing"
130,83578.8153846154,01350, Stone Fruit Growing,A,"Agriculture, Forestry and Fishing"
239,58942.3891213389,01360, Citrus Fruit Growing,A,"Agriculture, Forestry and Fishing"
421,122509.377672209,01370, Olive Growing,A,"Agriculture, Forestry and Fishing"
1464,120318.116120219,01390, Other Fruit and Tree Nut Growing,A,"Agriculture, Forestry and Fishing"
3471,57852.9227888217,01410, Sheep Farming (Specialised),A,"Agriculture, Forestry and Fishing"
20013,62345.1958726828,01420, Beef Cattle Farming (Specialised),A,"Agriculture, Forestry and Fishing"
53,93730.4716981132,01430, Beef Cattle Feedlots (Specialised),A,"Agriculture, Forestry and Fishing"
6248,69637.6755761844,01440, Sheep-Beef Cattle Farming,A,"Agriculture, Forestry and Fishing"
3461,51759.6200520081,01450, Grain-Sheep or Grain-Beef Cattle Farming,A,"Agriculture, Forestry and Fishing"
69,34145.7971014493,01460, Rice Growing,A,"Agriculture, Forestry and Fishing"
2091,57158.468675275,01490, Other Grain Growing,A,"Agriculture, Forestry and Fishing"
742,52870.0175202156,01510, Sugar Cane Growing,A,"Agriculture, Forestry and Fishing"
38,55357.4736842105,01520, Cotton Growing,A,"Agriculture, Forestry and Fishing"
831,70200.8086642599,01590, Other Crop Growing n.e.c.,A,"Agriculture, Forestry and Fishing"
1353,38538.8573540281,01600, Dairy Cattle Farming,A,"Agriculture, Forestry and Fishing"
98,65319.193877551,01710, Poultry Farming (Meat),A,"Agriculture, Forestry and Fishing"
