tax_num,avg_tax_incm,fine_code,fine_name
569,48641.6203866432,01110, Nursery Production (Under Cover)
640,52478.578125,01120, Nursery Production (Outdoors)
166,50447.7530120482,01130, Turf Growing
65,41558.1076923077,01140, Floriculture Production (Under Cover)
187,55315.9251336898,01150, Floriculture Production (Outdoors)
59,42842.3898305085,01210, Mushroom Growing
471,31621.9341825902,01220, Vegetable Growing (Under Cover)
1217,43312.3040262942,01230, Vegetable Growing (Outdoors)
1480,107165.742567568,01310, Grape Growing
5,53656.6,01320, Kiwifruit Growing
108,45841.4444444445,01330, Berry Fruit Growing
70,27993.1714285714,01340, Apple and Pear Growing
130,83578.8153846154,01350, Stone Fruit Growing
239,58942.3891213389,01360, Citrus Fruit Growing
421,122509.377672209,01370, Olive Growing
1464,120318.116120219,01390, Other Fruit and Tree Nut Growing
3471,57852.9227888217,01410, Sheep Farming (Specialised)
20013,62345.1958726828,01420, Beef Cattle Farming (Specialised)
53,93730.4716981132,01430, Beef Cattle Feedlots (Specialised)
6248,69637.6755761844,01440, Sheep-Beef Cattle Farming
3461,51759.6200520081,01450, Grain-Sheep or Grain-Beef Cattle Farming
69,34145.7971014493,01460, Rice Growing
2091,57158.468675275,01490, Other Grain Growing
742,52870.0175202156,01510, Sugar Cane Growing
38,55357.4736842105,01520, Cotton Growing
831,70200.8086642599,01590, Other Crop Growing n.e.c.
1353,38538.8573540281,01600, Dairy Cattle Farming
98,65319.193877551,01710, Poultry Farming (Meat)
152,34272.875,01720, Poultry Farming (Eggs)
22,77316.9545454546,01800, Deer Farming
1676,60191.1837708831,01910, Horse Farming
146,33352.698630137,01920, Pig Farming
717,53165.3974895398,01930, Beekeeping
1959,65183.2368555385,01990, Other Livestock Farming n.e.c.
102,52705.1176470588,02011, Oyster Farming
11,50071.5454545455,02019, Offshore Longline and Rack Aquaculture n.e.c.
7,58979.5714285714,02031, Lobster Farming or Breeding
80,56747.2875,02039, Other Onshore Aquaculture
2793,185236.861439313,03010, Forestry
1050,62418.5361904762,03020, Logging
368,85591.4320652174,04111, Rock Lobster Fishing
59,51217.0338983051,04112, Crab Potting
196,53094.3367346939,04120, Prawn Fishing
418,43828.9641148325,04130, Line Fishing
158,44508.2405063291,04140," Fish Trawling, Seining and Netting"
239,86366.0962343096,04191, Abalone Fishing
621,51631.3929146538,04192, Marine Fishing n.e.c.
273,48700.4725274725,04199, Other Fishing n.e.c.
607,54172.5980230643,04200, Hunting and Trapping
967,130337.677352637,05100, Forestry Support Services
611,48979.0114566285,05220, Shearing Services
8452,42583.6192617132,05290, Other Agriculture and Fishing Support Services
66,81443.2424242424,07000, Oil and Gas Extraction
5,92858.2,08030, Copper Ore Mining
52,54857.4230769231,08040, Gold Ore Mining
7,83112.4285714286,08050, Mineral Sand Mining
7,38931.2857142857,08090, Other Metal Ore Mining
69,86482.8115942029,09110, Gravel and Sand Quarrying
154,53206.6623376623,09190, Other Construction Material Mining
88,32603.25,09902, Opal Mining
11,50877.5454545455,09903, Gemstone Mining (Except Opals and Diamonds)
34,98345.5294117647,09909, Other Non-Metallic Mineral Mining and Quarrying n.e.c.
6,70800.6666666667,10112, Petroleum Exploration Services
34,12336.8823529412,10121, Mineral Exploration (Own Account)
85,71390.7294117647,10122, Mineral Exploration Services
401,105511.768079801,10900, Other Mining Support Services
208,34696.8557692308,11110, Meat Processing
106,33036.6226415094,11120, Poultry Processing
5,43924.2,11130, Cured Meat and Smallgoods Manufacturing
14,40096.0714285714,11200, Seafood Processing
12,28630.5833333333,11310, Milk and Cream Processing
21,46876.9523809524,11320, Ice Cream Manufacturing
43,39441.9302325581,11330, Cheese and Other Dairy Product Manufacturing
343,48603.1457725948,11400, Fruit and Vegetable Processing
55,40462.6,11500, Oil and Fat Manufacturing
38,32210.5,11620," Cereal, Pasta and Baking Mix Manufacturing"
127,39592.3070866142,11710, Bread Manufacturing (Factory based)
644,34223.2267080745,11720, Cake and Pastry Manufacturing (Factory based)
13,40660.6923076923,11730, Biscuit Manufacturing (Factory based)
1342,33559.7563338301,11740, Bakery Product Manufacturing (Non-factory based)
160,34813.68125,11820, Confectionery Manufacturing
5,31855.2,11910," Potato, Corn and Other Crisp Manufacturing"
73,44656.4520547945,11920, Prepared Animal and Bird Feed Manufacturing
1050,39729.380952381,11990, Other Food Product Manufacturing n.e.c.
79,45254.5696202532,12110," Soft Drink, Cordial and Syrup Manufacturing"
60,68516.6333333333,12120, Beer Manufacturing
5,13614.2,12130, Spirit Manufacturing
405,68744.9703703704,12140, Wine and Other Alcoholic Beverage Manufacturing
44,25613.6363636364,13120, Natural Textile Manufacturing
13,41227.5384615385,13130, Synthetic Textile Manufacturing
346,37751.5924855491,13200," Leather Tanning, Fur Dressing and Leather Product Manufacturing"
61,39551.1803278689,13310, Textile Floor Covering Manufacturing
15,43546,13320," Rope, Cordage and Twine Manufacturing"
1233,32700.2887266829,13330, Cut and Sewn Textile Product Manufacturing
634,34192.2902208202,13340, Textile Finishing and Other Textile Product Manufacturing
85,27578.6705882353,13400, Knitted Product Manufacturing
4159,32895.057465737,13510, Clothing Manufacturing
74,31792.5540540541,13520, Footwear Manufacturing
128,38477.5078125,14110, Log Sawmilling
69,37895.1449275362,14120, Wood Chipping
276,41945.8768115942,14130, Timber Resawing and Dressing
32,46202.375,14910, Prefabricated Wooden Building Manufacturing
4249,49733.9453989174,14920, Wooden Structural Fitting and Component Manufacturing
5,27271,14940, Reconstituted Wood Product Manufacturing
583,38469.538593482,14990, Other Wood Product Manufacturing n.e.c.
11,30860.5454545455,15100," Pulp, Paper and Paperboard Manufacturing"
138,38043.5507246377,15230, Paper Stationery Manufacturing
23,30347.2608695652,15290, Other Converted Paper Product Manufacturing
1376,42252.179505814,16110, Printing
1467,44786.2317655078,16120, Printing Support Services
846,59379.6749408983,16200, Reproduction of Recorded Media
7,100901.428571429,17090, Other Petroleum and Coal Product Manufacturing
27,29036.3703703704,18120, Basic Organic Chemical Manufacturing
16,52104.4375,18290, Other Basic Polymer Manufacturing
13,32506.8461538462,18310, Fertiliser Manufacturing
87,79740.2643678161,18410, Human Pharmaceutical and Medicinal Product Manufacturing
6,92502.3333333333,18420, Veterinary Pharmaceutical and Medicinal Product Manufacturing
1344,32413.0677083333,18510, Cleaning Compound Manufacturing
425,36133,18520, Cosmetic and Toiletry Preparation Manufacturing
71,40533.323943662,18910, Photographic Chemical Product Manufacturing
12,79238.3333333333,18920, Explosive Manufacturing
25,45408.76,18990, Other Basic Chemical Product Manufacturing n.e.c.
5,34712.8,19110, Polymer Film and Sheet Packaging Material Manufacturing
49,58692.8979591837,19120, Rigid and Semi-Rigid Polymer Product Manufacturing
4,20809.5,19130, Polymer Foam Product Manufacturing
52,38463.8653846154,19140, Tyre Manufacturing
137,37062.9562043796,19160, Paint and Coatings Manufacturing
89,39925.7528089888,19190, Other Polymer Product Manufacturing
6,63302.6666666667,19200, Natural Rubber Product Manufacturing
392,42028.7831632653,20100, Glass and Glass Product Manufacturing
7,29510.2857142857,20210, Clay Brick Manufacturing
636,39837.5,20290, Other Ceramic Product Manufacturing
44,29421.0227272727,20310, Cement and Lime Manufacturing
173,41895.4739884393,20320, Plaster Product Manufacturing
334,53365.0838323353,20330, Ready-Mixed Concrete Manufacturing
373,46688.0884718499,20340, Concrete Product Manufacturing
293,49136.5802047782,20900, Other Non-Metallic Mineral Product Manufacturing
143,56173.3846153846,21100, Iron Smelting and Steel Manufacturing
84,37281.4523809524,21210, Iron and Steel Casting
35,47685.7142857143,21220, Steel Pipe and Tube Manufacturing
10,37507.6,21320, Aluminium Smelting
38,54638.7894736842,21390, Other Basic Non-Ferrous Metal Manufacturing
7,62338.4285714286,21410, Non-Ferrous Metal Casting
36,40764.6666666667,21420," Aluminium Rolling, Drawing, Extruding"
46,57101.347826087,21490, Other Basic Non-Ferrous Metal Product Manufacturing
40,39739.65,22100, Iron and Steel Forging
732,53104,22210, Structural Steel Fabricating
247,48442.4898785425,22220, Prefabricated Metal Building Manufacturing
268,48109.4141791045,22230, Architectural Aluminium Product Manufacturing
32,41278.5,22240, Metal Roof and Guttering Manufacturing (except Aluminium)
369,50970.5691056911,22290, Other Structural Metal Product Manufacturing
934,64353.9571734475,22310," Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
30,49532.8,22390, Other Metal Container Manufacturing
381,56849.0157480315,22400, Sheet Metal Product Manufacturing (except Metal Structural and Container Products)
28,37772.7857142857,22910, Spring and Wire Product Manufacturing
541,47872.0979667283,22930, Metal Coating and Finishing
3190,53772.5880877743,22990, Other Fabricated Metal Product Manufacturing n.e.c.
117,38796.5213675214,23110, Motor Vehicle Manufacturing
373,41825.6112600536,23120, Motor Vehicle Body and Trailer Manufacturing
72,49965.0138888889,23130, Automotive Electrical Component Manufacturing
175,46329.6171428571,23190, Other Motor Vehicle Parts Manufacturing
163,50116.7116564417,23910, Shipbuilding and Repair Services
1008,42905.9067460318,23920, Boatbuilding and Repair Services
14,46985.5714285714,23930, Railway Rolling Stock Manufacturing and Repair Services
374,70611.9598930481,23940, Aircraft Manufacturing and Repair Services
166,43113.5301204819,23990, Other Transport Equipment Manufacturing n.e.c.
59,61372.2372881356,24110," Photographic, Optical and Ophthalmic Equipment Manufacturing"
456,66353.9890350877,24120, Medical and Surgical Equipment Manufacturing
181,44757.3591160221,24190, Other Professional and Scientific Equipment Manufacturing
202,56102.9801980198,24211, Computer and Related Equipment Manufacturing
66,49211.1515151515,24219, Business Machine (Electronic) Manufacturing n.e.c.
87,60533.4597701149,24220, Communication Equipment Manufacturing
139,53167.035971223,24290, Other Electronic Equipment Manufacturing
129,48433.8217054264,24310, Electric Cable and Wire Manufacturing
128,50188.328125,24320, Electric Lighting Equipment Manufacturing
199,54527.648241206,24390, Other Electrical Equipment Manufacturing
37,44956.5405405405,24410, Whiteware Appliance Manufacturing
156,32244.6153846154,24490, Other Domestic Appliance Manufacturing
7,44289.5714285714,24510, Pump and Compressor Manufacturing
108,49006.3518518519,24520," Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
119,51742.3025210084,24610, Agricultural Machinery and Equipment Manufacturing
63,60193.1111111111,24620, Mining and Construction Machinery Manufacturing
306,54118.0098039216,24630, Machine Tool and Parts Manufacturing
265,39468.8490566038,24690, Other Specialised Machinery and Equipment Manufacturing
41,51721.8048780488,24910, Lifting and Material Handling Equipment Manufacturing
203,53565.354679803,24990, Other Machinery and Equipment Manufacturing n.e.c.
3276,44835.1233211233,25110, Wooden Furniture and Upholstered Seat Manufacturing
64,45165.328125,25120, Metal Furniture Manufacturing
10,34397.5,25130, Mattress Manufacturing
596,38343.5654362416,25190, Other Furniture Manufacturing
2237,39283.9879302638,25910, Jewellery and Silverware Manufacturing
624,42019.4471153846,25920," Toy, Sporting and Recreational Product Manufacturing"
989,43213.8281092012,25990, Other Manufacturing n.e.c.
79,77200.1139240506,26190, Other Electricity Generation
13,48406.0769230769,26200, Electricity Transmission
35,63544.3142857143,26300, Electricity Distribution
162,39740.3209876543,26400, On Selling Electricity and Electricity Market Operation
29,59392.8620689655,27000, Gas Supply
206,55990.5145631068,28110, Water Supply
91,54893.8901098901,28120, Sewerage and Drainage Services
359,46343.8189415042,29110, Solid Waste Collection Services
214,46133.7476635514,29190, Other Waste Collection Services
265,44527.2603773585,29210, Waste Treatment and Disposal Services
380,43029.8947368421,29220, Waste Remediation and Materials Recovery Services
11518,51466.2432714013,30110, House Construction
6787,51083.4999263298,30190, Other Residential Building Construction
2280,59850.5219298246,30200, Non-Residential Building Construction
381,61484.6509186352,31010, Road and Bridge Construction
518,51365.3281853282,31091, Swimming and Spa Pool Construction or Installation (Below Ground Concrete or Fibreglass)
1250,59399.9136,31099, Other Heavy and Civil Engineering Construction n.e.c.
593,142895.212478921,32110, Land Development and Subdivision
3608,50327.4886363636,32120, Site Preparation Services
7923,49027.1177584248,32210, Concreting Services
10164,44358.1608618654,32220, Bricklaying Services
3513,49656.4323939653,32230, Roofing Services
1304,51135.5007668712,32240, Structural Steel Erection Services
13000,55574.8431538462,32310, Plumbing Services
18965,61080.2781439494,32320, Electrical Services
3121,55725.761614867,32330, Air Conditioning and Heating Services
1149,54144.2062663185,32340, Fire and Security Alarm Installation Services
4178,49011.1287697463,32390, Other Building Installation Services
12775,43251.4832093933,32410, Plastering and Ceiling Services
36870,49559.5911310008,32420, Carpentry Services
